Company_Name,Sector,Stage,Location,What_it_does,Funding_Amount($),Year,Investor,Redistributed_sector
Drstore,Hospital,Seed,Mumbai,Drstore is a exclusive e- commerce platform.,3000000.0,2018,Inflection Point Ventures,Health & Medical
Wow Venue,Events,Seed,Mumbai,Wow Venue is an online platform.,1500000.0,2018,Inflection Point Ventures,Others
Chizel,3D Printing,Seed,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,3000000.0,2018,Inflection Point Ventures,Others
OTO Capital,Automotive,Seed,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,3000000.0,2018,Inflection Point Ventures,Transport
Boodmo,Automotive,Seed,Gurgaon,boodmo.com - large online marketplace for auto parts in India.,3000000.0,2018,Inflection Point Ventures,Transport
Khabri,Apps,Seed,Haryana,Khabri is a digital audio platform for content in vernacular.,3000000.0,2018,Inflection Point Ventures,Others
MyNewCar.in,Automotive,Seed,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,1000000.0,2018,Inflection Point Ventures,Transport
HalaPlay Technologies,Digital Entertainment,Series A,Bangalore,A daily fantasy sports platform.,5000000.0,2018,Inflection Point Ventures,Others
PlanetSpark,E-Learning,Seed,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,3000000.0,2018,Inflection Point Ventures,Education
WheelsEMI,FinTech,Series B,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",14000000.0,2018,Inflection Point Ventures,Finance
Forum for Innovation Incubation Research and Entrepreneurship,Funding Platform,Grant,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",3000000.0,2018,Inflection Point Ventures,Others
OYO,Hospitality,Series E,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.,100000000.0,2018,Inflection Point Ventures,Health & Medical
Quikr,Classifieds,Debt,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",3000000.0,2018,Inflection Point Ventures,Others
Tabono,Sports,Seed,Gurgaon,Tabono is a one stop environment for all your fitness solution.,3000000.0,2018,Inflection Point Ventures,Sports & Fitness
LearnApp,Banking,Seed,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",3000000.0,2018,Inflection Point Ventures,Finance
Shopkirana,E-Commerce,Seed,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2000000.0,2018,Inflection Point Ventures,E-Commerce & Retail
Fric Bergen,FinTech,Seed,Alwar,Fric Bergen is a leader in the specialty food industry.,3000000.0,2018,Inflection Point Ventures,Finance
Articbot,Artificial Intelligence,Grant,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,3000000.0,2018,Inflection Point Ventures,Technology & IT
